0,2254.72
1,2883.99
2,3202.76
3,3126.43
4,2876.45
5,2782.05
6,2991.6
7,2580.93
8,2652.27
9,2737.02
10,2887.61
11,2890.83
12,3080.98
13,3342.61
14,3171.53
15,3256.87
16,3260.63
17,3760.27
18,3552.19
19,4057.5
20,3747.5
21,3935.94
22,3780.26
23,3980.8
24,4129.95
25,4287.97
26,4165.45
27,4354.14
28,4183.44
29,4464.31
30,4580.6
31,4611.62
32,4316.99
33,4616.85
34,4817.93
35,5086.16
36,5048.61
37,4835.98
38,4797.18
39,5143.2
40,4979.27
41,4949.69
42,5205.34
43,5542.48
44,5260.56
45,5231.67
46,5536.5
47,5416.19
48,5240.55
49,5501.94
50,5662.3
51,5791.22
52,5461.3
53,5454.29
54,5613.43
55,5992.54
56,5893.47
57,6102.55
58,6204.18
59,6265.13
60,6430.61
61,6718.2
62,6415.08
63,6558.63
64,6623.8
65,6428.33
66,6571.61
67,6823.91
68,6605.95
69,6493.56
70,6660.82
71,6626.29
72,7474.41
73,6747.48
74,6891.22
75,7217.67
76,6677.01
77,6925.22
78,7302.47
79,7547.91
80,7147.35
81,7430.36
82,7341.73
83,7095.41
84,7385.88
85,7399.23
86,7511.07
87,7176.02
88,7238.31
