0,7.5
1,8.8
2,10.4
3,10.9
4,8.8
5,11.9
6,10.3
7,9
8,10.8
9,10.5
10,8.8
11,11.1
12,10.6
13,8.9
14,11.7
15,10.9
16,9.3
17,11.3
18,11.3
19,11.1
20,12.2
21,12.4
22,10.4
23,13.7
24,12.6
25,13.2
26,13
27,12.6
28,12.3
29,13.2
30,12.2
31,13.1
32,13.8
33,14.3
34,12.8
35,16.4
36,12.3
37,15.2
38,16.7
39,15.1
40,13.1
41,17.1
42,15.8
43,16.7
44,15.8
45,13.3
46,15.4
47,17.5
48,17.7
49,15.2
50,17.6
51,18.4
52,17.5
53,18.1
54,18.4
55,19.2
56,17.2
57,17.6
58,17.7
59,19.6
60,18.6
61,17.3
62,20.3
63,18.3
64,21.7
65,17.4
66,21.3
67,19
68,20.4
69,17.4
70,21.1
71,22
72,21.5
73,21.1
74,20.8
75,22.1
76,21.7
77,21.5
78,17.3
79,23.6
80,25.5
81,23.4
82,25.9
83,22.5
84,21.2
85,24.2
86,23
87,21.6
88,20.6
