0,78
1,86
2,91
3,95
4,96
5,93
6,95
7,93
8,95
9,97
10,96
11,100
12,102
13,102
14,102
15,104
16,106
17,106
18,107
19,107
20,109
21,112
22,113
23,114
24,115
25,118
26,118
27,119
28,119
29,121
30,125
31,124
32,124
33,126
34,127
35,128
36,130
37,130
38,131
39,133
40,134
41,138
42,136
43,137
44,140
45,142
46,142
47,144
48,144
49,146
50,147
51,148
52,149
53,153
54,152
55,154
56,155
57,157
58,158
59,158
60,159
61,159
62,163
63,163
64,165
65,167
66,166
67,168
68,169
69,171
70,173
71,174
72,175
73,175
74,178
75,178
76,180
77,182
78,183
79,183
80,185
81,186
82,187
83,189
84,189
85,190
86,193
87,194
88,193
